Frequency (Hz) - Voltage (Power Spectrum),Amplitude - Voltage (Power Spectrum)
59.2,-77.530515
59.3,-77.003945
59.4,-78.210505
59.5,-77.078264
59.6,-77.996037
59.7,-76.86556
59.8,-78.421927
59.9,-77.468022
60,-78.101765
60.1,-78.029004
60.2,-76.892355
60.3,-77.811455
60.4,-77.933697
60.5,-78.048581
60.6,-78.695278
60.7,-79.136512
60.8,-77.370541
60.9,-77.376994
61,-78.5012
61.1,-78.736143
61.2,-77.687578
61.3,-78.612383
61.4,-79.046404
61.5,-77.734549
61.6,-77.943783
61.7,-77.549315
61.8,-78.497673
61.9,-79.141612
62,-78.410305
62.1,-78.662761
62.2,-78.628811
62.3,-80.619043
62.4,-78.107351
62.5,-78.879548
62.6,-78.244362
62.7,-78.281893
62.8,-78.47828
62.9,-78.716404
63,-78.89156
63.1,-78.68571
63.2,-77.879279
63.3,-78.385216
63.4,-79.415442
63.5,-78.663942
63.6,-78.979685
63.7,-78.915271
63.8,-78.608245
63.9,-78.831834
64,-79.756899
64.1,-79.566682
64.2,-79.644288
64.3,-79.399964
64.4,-79.210571
64.5,-79.716747
64.6,-78.992513
64.7,-79.255162
64.8,-81.108524
64.9,-79.326325
65,-79.110806
65.1,-78.819776
65.2,-79.952413
65.3,-80.041739
65.4,-80.031642
65.5,-79.830679
65.6,-80.420878
65.7,-80.412588
65.8,-80.239804
65.9,-81.532896
66,-80.811985
66.1,-79.878929
66.2,-78.723044
66.3,-79.858363
66.4,-82.267713
66.5,-79.075146
66.6,-79.082936
66.7,-80.232693
66.8,-80.605609
66.9,-80.850085
67,-78.74099
67.1,-80.363216
67.2,-79.388931
67.3,-80.277469
67.4,-79.187097
67.5,-78.892084
67.6,-82.054499
67.7,-79.440087
67.8,-79.322988
67.9,-80.410866
68,-80.303479
68.1,-83.023485
68.2,-79.875445
68.3,-80.817895
68.4,-80.20688
68.5,-80.009924
68.6,-81.113646
68.7,-79.884136
68.8,-79.769277
68.9,-80.873296
69,-81.746323
69.1,-80.133269
69.2,-81.380797
69.3,-80.197794
69.4,-79.680923
69.5,-80.482305
69.6,-81.117587
69.7,-80.270684
69.8,-81.001019
69.9,-80.475936
70,-82.936608
70.1,-81.8131
70.2,-81.131821
70.3,-80.473046
70.4,-81.056694
70.5,-82.114601
70.6,-80.50361
